ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,166,140,26,0.843373493975904,ALL CANCERS TWO WEEK WAIT,2020-09-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,585,560,25,0.957264957264957,ALL CANCERS TWO WEEK WAIT,2020-09-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,843,819,24,0.97153024911032,ALL CANCERS TWO WEEK WAIT,2020-09-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1158,1097,61,,ALL CANCERS TWO WEEK WAIT,2020-09-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,386,344,42,,ALL CANCERS TWO WEEK WAIT,2020-09-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3350,2697,653,0.805074626865672,ALL CANCERS TWO WEEK WAIT,2020-09-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,1712,1538,174,0.898364485981308,ALL CANCERS TWO WEEK WAIT,2020-09-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1437,1359,78,0.945720250521921,ALL CANCERS TWO WEEK WAIT,2020-09-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3652,1977,1675,0.541347207009858,ALL CANCERS TWO WEEK WAIT,2020-09-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,482,446,36,,ALL CANCERS TWO WEEK WAIT,2020-09-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,626,608,18,0.971246006389776,ALL CANCERS TWO WEEK WAIT,2020-09-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,920,883,37,0.959782608695652,ALL CANCERS TWO WEEK WAIT,2020-09-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,2035,1910,125,0.938574938574939,ALL CANCERS TWO WEEK WAIT,2020-09-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,1162,1036,126,0.891566265060241,ALL CANCERS TWO WEEK WAIT,2020-09-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1062,967,95,0.910546139359699,ALL CANCERS TWO WEEK WAIT,2020-09-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3518,2354,1164,0.669130187606595,ALL CANCERS TWO WEEK WAIT,2020-09-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,1950,1890,60,0.969230769230769,ALL CANCERS TWO WEEK WAIT,2020-09-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,790,713,77,0.90253164556962,ALL CANCERS TWO WEEK WAIT,2020-09-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,715,698,17,0.976223776223776,ALL CANCERS TWO WEEK WAIT,2020-09-01
