ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,840,756,84,0.9,ALL CANCERS TWO WEEK WAIT,2021-10-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1189,872,317,,ALL CANCERS TWO WEEK WAIT,2021-10-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,426,373,53,,ALL CANCERS TWO WEEK WAIT,2021-10-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3663,3034,629,0.828282828282828,ALL CANCERS TWO WEEK WAIT,2021-10-01
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",ALL SUSPECTED CANCER,3560,2902,658,0.815168539325843,ALL CANCERS TWO WEEK WAIT,2021-10-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1727,1593,134,0.922408801389693,ALL CANCERS TWO WEEK WAIT,2021-10-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,4310,3599,711,0.835034802784223,ALL CANCERS TWO WEEK WAIT,2021-10-01
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,ALL SUSPECTED CANCER,3434,3039,395,0.884973791496797,ALL CANCERS TWO WEEK WAIT,2021-10-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,528,435,93,,ALL CANCERS TWO WEEK WAIT,2021-10-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,701,615,86,0.877318116975749,ALL CANCERS TWO WEEK WAIT,2021-10-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,1117,1072,45,0.959713518352731,ALL CANCERS TWO WEEK WAIT,2021-10-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,2135,1937,198,0.907259953161592,ALL CANCERS TWO WEEK WAIT,2021-10-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1187,994,193,0.837405223251895,ALL CANCERS TWO WEEK WAIT,2021-10-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3750,2287,1463,0.609866666666667,ALL CANCERS TWO WEEK WAIT,2021-10-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,2101,1928,173,0.917658257972394,ALL CANCERS TWO WEEK WAIT,2021-10-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,857,594,263,0.693115519253209,ALL CANCERS TWO WEEK WAIT,2021-10-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,877,865,12,0.986316989737742,ALL CANCERS TWO WEEK WAIT,2021-10-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,3563,2807,756,0.787819253438114,ALL CANCERS TWO WEEK WAIT,2021-10-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,560,470,90,0.839285714285714,ALL CANCERS TWO WEEK WAIT,2021-10-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,ALL SUSPECTED CANCER,836,513,323,,ALL CANCERS TWO WEEK WAIT,2021-10-01
27D,NHS CHESHIRE CCG,ALL SUSPECTED CANCER,3195,2489,706,0.779029733959311,ALL CANCERS TWO WEEK WAIT,2021-10-01
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,ALL SUSPECTED CANCER,809,635,174,0.784919653893696,ALL CANCERS TWO WEEK WAIT,2021-10-01
84H,NHS COUNTY DURHAM CCG,ALL SUSPECTED CANCER,2011,1614,397,0.802585778219791,ALL CANCERS TWO WEEK WAIT,2021-10-01
B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,ALL SUSPECTED CANCER,4094,3528,566,0.861748900830484,ALL CANCERS TWO WEEK WAIT,2021-10-01
15M,NHS DERBY AND DERBYSHIRE CCG,ALL SUSPECTED CANCER,3848,3065,783,0.796517671517671,ALL CANCERS TWO WEEK WAIT,2021-10-01
15N,NHS DEVON CCG,ALL SUSPECTED CANCER,6241,4306,1935,0.689953533087646,ALL CANCERS TWO WEEK WAIT,2021-10-01
