ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,194,157,37,0.809278350515464,ALL CANCERS TWO WEEK WAIT,2021-04-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,886,792,94,0.893905191873589,ALL CANCERS TWO WEEK WAIT,2021-04-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,1264,1127,137,,ALL CANCERS TWO WEEK WAIT,2021-04-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,376,265,111,,ALL CANCERS TWO WEEK WAIT,2021-04-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,3322,2570,752,0.773630343166767,ALL CANCERS TWO WEEK WAIT,2021-04-01
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",ALL SUSPECTED CANCER,3149,2593,556,0.823436011432201,ALL CANCERS TWO WEEK WAIT,2021-04-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1514,1399,115,0.924042272126816,ALL CANCERS TWO WEEK WAIT,2021-04-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,3639,2500,1139,0.687001923605386,ALL CANCERS TWO WEEK WAIT,2021-04-01
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,ALL SUSPECTED CANCER,4159,3282,877,0.789132002885309,ALL CANCERS TWO WEEK WAIT,2021-04-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,518,460,58,,ALL CANCERS TWO WEEK WAIT,2021-04-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,653,543,110,0.831546707503829,ALL CANCERS TWO WEEK WAIT,2021-04-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,1037,1002,35,0.966248794599807,ALL CANCERS TWO WEEK WAIT,2021-04-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,2110,1915,195,0.907582938388626,ALL CANCERS TWO WEEK WAIT,2021-04-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,1043,999,44,0.957813998082454,ALL CANCERS TWO WEEK WAIT,2021-04-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,3371,2145,1226,0.636309700385642,ALL CANCERS TWO WEEK WAIT,2021-04-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,1986,1896,90,0.954682779456193,ALL CANCERS TWO WEEK WAIT,2021-04-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,749,571,178,0.762349799732977,ALL CANCERS TWO WEEK WAIT,2021-04-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,846,833,13,0.984633569739953,ALL CANCERS TWO WEEK WAIT,2021-04-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,3133,2587,546,0.825726141078838,ALL CANCERS TWO WEEK WAIT,2021-04-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,540,412,128,0.762962962962963,ALL CANCERS TWO WEEK WAIT,2021-04-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,ALL SUSPECTED CANCER,725,478,247,,ALL CANCERS TWO WEEK WAIT,2021-04-01
27D,NHS CHESHIRE CCG,ALL SUSPECTED CANCER,3061,2566,495,0.83828814113035,ALL CANCERS TWO WEEK WAIT,2021-04-01
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,ALL SUSPECTED CANCER,764,702,62,0.918848167539267,ALL CANCERS TWO WEEK WAIT,2021-04-01
84H,NHS COUNTY DURHAM CCG,ALL SUSPECTED CANCER,1979,1555,424,0.785750378979282,ALL CANCERS TWO WEEK WAIT,2021-04-01
B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,ALL SUSPECTED CANCER,3624,3104,520,0.856512141280353,ALL CANCERS TWO WEEK WAIT,2021-04-01
15M,NHS DERBY AND DERBYSHIRE CCG,ALL SUSPECTED CANCER,3495,2846,649,0.814306151645207,ALL CANCERS TWO WEEK WAIT,2021-04-01
15N,NHS DEVON CCG,ALL SUSPECTED CANCER,5829,4232,1597,0.726025047177904,ALL CANCERS TWO WEEK WAIT,2021-04-01
02X,NHS DONCASTER CCG,ALL SUSPECTED CANCER,1037,736,301,,ALL CANCERS TWO WEEK WAIT,2021-04-01
11J,NHS DORSET CCG,ALL SUSPECTED CANCER,3389,2531,858,,ALL CANCERS TWO WEEK WAIT,2021-04-01
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,ALL SUSPECTED CANCER,1875,1736,139,0.925866666666667,ALL CANCERS TWO WEEK WAIT,2021-04-01
01A,NHS EAST LANCASHIRE CCG,ALL SUSPECTED CANCER,1288,1147,141,,ALL CANCERS TWO WEEK WAIT,2021-04-01
03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,ALL SUSPECTED CANCER,1272,1142,130,0.897798742138365,ALL CANCERS TWO WEEK WAIT,2021-04-01
02Y,NHS EAST RIDING OF YORKSHIRE CCG,ALL SUSPECTED CANCER,1115,927,188,0.831390134529148,ALL CANCERS TWO WEEK WAIT,2021-04-01
05D,NHS EAST STAFFORDSHIRE CCG,ALL SUSPECTED CANCER,524,404,120,0.770992366412214,ALL CANCERS TWO WEEK WAIT,2021-04-01
97R,NHS EAST SUSSEX CCG,ALL SUSPECTED CANCER,2434,2349,85,0.965078060805259,ALL CANCERS TWO WEEK WAIT,2021-04-01
D4U1Y,NHS FRIMLEY CCG,ALL SUSPECTED CANCER,2432,2066,366,0.849506578947368,ALL CANCERS TWO WEEK WAIT,2021-04-01
02M,NHS FYLDE AND WYRE CCG,ALL SUSPECTED CANCER,976,851,125,0.871926229508197,ALL CANCERS TWO WEEK WAIT,2021-04-01
11M,NHS GLOUCESTERSHIRE CCG,ALL SUSPECTED CANCER,2092,1972,120,0.94263862332696,ALL CANCERS TWO WEEK WAIT,2021-04-01
