ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,159,151,8,0.94968553459119498,ALL CANCERS TWO WEEK WAIT,2020-06-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,429,258,171,0.60139860139860102,ALL CANCERS TWO WEEK WAIT,2020-06-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,669,660,9,0.98654708520179402,ALL CANCERS TWO WEEK WAIT,2020-06-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,936,893,43,,ALL CANCERS TWO WEEK WAIT,2020-06-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,339,305,34,,ALL CANCERS TWO WEEK WAIT,2020-06-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,2654,2558,96,0.96382818387339897,ALL CANCERS TWO WEEK WAIT,2020-06-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,1279,1216,63,0.95074276778733402,ALL CANCERS TWO WEEK WAIT,2020-06-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,1046,982,64,0.93881453154875705,ALL CANCERS TWO WEEK WAIT,2020-06-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,2489,1775,714,0.713137806347931,ALL CANCERS TWO WEEK WAIT,2020-06-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,385,369,16,,ALL CANCERS TWO WEEK WAIT,2020-06-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,518,485,33,0.93629343629343598,ALL CANCERS TWO WEEK WAIT,2020-06-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,642,614,28,0.95638629283489096,ALL CANCERS TWO WEEK WAIT,2020-06-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,1541,1480,61,0.96041531473069397,ALL CANCERS TWO WEEK WAIT,2020-06-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,758,740,18,0.97625329815303397,ALL CANCERS TWO WEEK WAIT,2020-06-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,719,638,81,0.88734353268428401,ALL CANCERS TWO WEEK WAIT,2020-06-01
