ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
13Q,NATIONAL COMMISSIONING HUB 1,ALL SUSPECTED CANCER,123,116,7,0.94308943089430897,ALL CANCERS TWO WEEK WAIT,2020-05-01
07L,NHS BARKING AND DAGENHAM CCG,ALL SUSPECTED CANCER,284,221,63,0.778169014084507,ALL CANCERS TWO WEEK WAIT,2020-05-01
02P,NHS BARNSLEY CCG,ALL SUSPECTED CANCER,484,480,4,0.99173553719008301,ALL CANCERS TWO WEEK WAIT,2020-05-01
99E,NHS BASILDON AND BRENTWOOD CCG,ALL SUSPECTED CANCER,607,570,37,,ALL CANCERS TWO WEEK WAIT,2020-05-01
02Q,NHS BASSETLAW CCG,ALL SUSPECTED CANCER,188,185,3,,ALL CANCERS TWO WEEK WAIT,2020-05-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",ALL SUSPECTED CANCER,1893,1807,86,0.954569466455362,ALL CANCERS TWO WEEK WAIT,2020-05-01
06F,NHS BEDFORDSHIRE CCG,ALL SUSPECTED CANCER,872,848,24,0.97247706422018398,ALL CANCERS TWO WEEK WAIT,2020-05-01
15A,NHS BERKSHIRE WEST CCG,ALL SUSPECTED CANCER,769,737,32,0.95838751625487695,ALL CANCERS TWO WEEK WAIT,2020-05-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,ALL SUSPECTED CANCER,1754,1263,491,0.72006841505131103,ALL CANCERS TWO WEEK WAIT,2020-05-01
00Q,NHS BLACKBURN WITH DARWEN CCG,ALL SUSPECTED CANCER,246,234,12,,ALL CANCERS TWO WEEK WAIT,2020-05-01
00R,NHS BLACKPOOL CCG,ALL SUSPECTED CANCER,294,281,13,0.95578231292517002,ALL CANCERS TWO WEEK WAIT,2020-05-01
00T,NHS BOLTON CCG,ALL SUSPECTED CANCER,452,450,2,0.99557522123893805,ALL CANCERS TWO WEEK WAIT,2020-05-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,ALL SUSPECTED CANCER,1142,1098,44,0.96147110332749597,ALL CANCERS TWO WEEK WAIT,2020-05-01
07P,NHS BRENT CCG,ALL SUSPECTED CANCER,523,502,21,0.95984703632887203,ALL CANCERS TWO WEEK WAIT,2020-05-01
09D,NHS BRIGHTON AND HOVE CCG,ALL SUSPECTED CANCER,571,548,23,0.95971978984238204,ALL CANCERS TWO WEEK WAIT,2020-05-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",ALL SUSPECTED CANCER,2136,1961,175,0.91807116104868902,ALL CANCERS TWO WEEK WAIT,2020-05-01
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,871,837,34,0.96096440872560296,ALL CANCERS TWO WEEK WAIT,2020-05-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,392,386,6,0.98469387755102,ALL CANCERS TWO WEEK WAIT,2020-05-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,487,484,3,0.99383983572895296,ALL CANCERS TWO WEEK WAIT,2020-05-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,1586,1534,52,0.96721311475409799,ALL CANCERS TWO WEEK WAIT,2020-05-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,278,272,6,0.97841726618705005,ALL CANCERS TWO WEEK WAIT,2020-05-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,ALL SUSPECTED CANCER,396,382,14,,ALL CANCERS TWO WEEK WAIT,2020-05-01
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,ALL SUSPECTED CANCER,257,246,11,0.95719844357976702,ALL CANCERS TWO WEEK WAIT,2020-05-01
27D,NHS CHESHIRE CCG,ALL SUSPECTED CANCER,1518,1451,67,0.95586297760210803,ALL CANCERS TWO WEEK WAIT,2020-05-01
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,ALL SUSPECTED CANCER,444,436,8,0.98198198198198205,ALL CANCERS TWO WEEK WAIT,2020-05-01
07T,NHS CITY AND HACKNEY CCG,ALL SUSPECTED CANCER,374,370,4,0.989304812834225,ALL CANCERS TWO WEEK WAIT,2020-05-01
84H,NHS COUNTY DURHAM CCG,ALL SUSPECTED CANCER,997,939,58,0.94182547642928804,ALL CANCERS TWO WEEK WAIT,2020-05-01
05A,NHS COVENTRY AND RUGBY CCG,ALL SUSPECTED CANCER,923,900,23,0.97508125677139801,ALL CANCERS TWO WEEK WAIT,2020-05-01
15M,NHS DERBY AND DERBYSHIRE CCG,ALL SUSPECTED CANCER,1734,1649,85,0.95098039215686303,ALL CANCERS TWO WEEK WAIT,2020-05-01
15N,NHS DEVON CCG,ALL SUSPECTED CANCER,3144,2976,168,0.94656488549618301,ALL CANCERS TWO WEEK WAIT,2020-05-01
02X,NHS DONCASTER CCG,ALL SUSPECTED CANCER,512,501,11,,ALL CANCERS TWO WEEK WAIT,2020-05-01
11J,NHS DORSET CCG,ALL SUSPECTED CANCER,1653,1576,77,,ALL CANCERS TWO WEEK WAIT,2020-05-01
05C,NHS DUDLEY CCG,ALL SUSPECTED CANCER,652,638,14,0.97852760736196298,ALL CANCERS TWO WEEK WAIT,2020-05-01
07W,NHS EALING CCG,ALL SUSPECTED CANCER,597,574,23,0.96147403685092103,ALL CANCERS TWO WEEK WAIT,2020-05-01
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,ALL SUSPECTED CANCER,965,943,22,0.97720207253886004,ALL CANCERS TWO WEEK WAIT,2020-05-01
15D,NHS EAST BERKSHIRE CCG,ALL SUSPECTED CANCER,638,607,31,0.95141065830721006,ALL CANCERS TWO WEEK WAIT,2020-05-01
01A,NHS EAST LANCASHIRE CCG,ALL SUSPECTED CANCER,633,606,27,,ALL CANCERS TWO WEEK WAIT,2020-05-01
03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,ALL SUSPECTED CANCER,714,629,85,0.88095238095238104,ALL CANCERS TWO WEEK WAIT,2020-05-01
02Y,NHS EAST RIDING OF YORKSHIRE CCG,ALL SUSPECTED CANCER,551,531,20,0.96370235934664294,ALL CANCERS TWO WEEK WAIT,2020-05-01
05D,NHS EAST STAFFORDSHIRE CCG,ALL SUSPECTED CANCER,251,235,16,0.936254980079681,ALL CANCERS TWO WEEK WAIT,2020-05-01
97R,NHS EAST SUSSEX CCG,ALL SUSPECTED CANCER,1250,1174,76,0.93920000000000003,ALL CANCERS TWO WEEK WAIT,2020-05-01
10K,NHS FAREHAM AND GOSPORT CCG,ALL SUSPECTED CANCER,309,304,5,0.98381877022653696,ALL CANCERS TWO WEEK WAIT,2020-05-01
02M,NHS FYLDE AND WYRE CCG,ALL SUSPECTED CANCER,440,424,16,0.96363636363636396,ALL CANCERS TWO WEEK WAIT,2020-05-01
11M,NHS GLOUCESTERSHIRE CCG,ALL SUSPECTED CANCER,1255,1240,15,0.98804780876494003,ALL CANCERS TWO WEEK WAIT,2020-05-01
03A,NHS GREATER HUDDERSFIELD CCG,ALL SUSPECTED CANCER,453,446,7,0.98454746136865301,ALL CANCERS TWO WEEK WAIT,2020-05-01
01E,NHS GREATER PRESTON CCG,ALL SUSPECTED CANCER,492,479,13,0.973577235772358,ALL CANCERS TWO WEEK WAIT,2020-05-01
01F,NHS HALTON CCG,ALL SUSPECTED CANCER,241,228,13,0.94605809128630702,ALL CANCERS TWO WEEK WAIT,2020-05-01
08C,NHS HAMMERSMITH AND FULHAM CCG,ALL SUSPECTED CANCER,516,501,15,0.97093023255813904,ALL CANCERS TWO WEEK WAIT,2020-05-01
08E,NHS HARROW CCG,ALL SUSPECTED CANCER,428,415,13,0.96962616822429903,ALL CANCERS TWO WEEK WAIT,2020-05-01
08F,NHS HAVERING CCG,ALL SUSPECTED CANCER,478,313,165,0.65481171548117201,ALL CANCERS TWO WEEK WAIT,2020-05-01
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,ALL SUSPECTED CANCER,1209,1112,97,0.91976840363937096,ALL CANCERS TWO WEEK WAIT,2020-05-01
06N,NHS HERTS VALLEYS CCG,ALL SUSPECTED CANCER,1127,1096,31,0.97249334516415298,ALL CANCERS TWO WEEK WAIT,2020-05-01
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",ALL SUSPECTED CANCER,454,452,2,0.99559471365638796,ALL CANCERS TWO WEEK WAIT,2020-05-01
08G,NHS HILLINGDON CCG,ALL SUSPECTED CANCER,414,384,30,0.92753623188405798,ALL CANCERS TWO WEEK WAIT,2020-05-01
07Y,NHS HOUNSLOW CCG,ALL SUSPECTED CANCER,402,389,13,0.96766169154228898,ALL CANCERS TWO WEEK WAIT,2020-05-01
03F,NHS HULL CCG,ALL SUSPECTED CANCER,398,375,23,0.94221105527638205,ALL CANCERS TWO WEEK WAIT,2020-05-01
06L,NHS IPSWICH AND EAST SUFFOLK CCG,ALL SUSPECTED CANCER,821,794,27,0.96711327649208301,ALL CANCERS TWO WEEK WAIT,2020-05-01
10L,NHS ISLE OF WIGHT CCG,ALL SUSPECTED CANCER,283,254,29,0.89752650176678495,ALL CANCERS TWO WEEK WAIT,2020-05-01
91Q,NHS KENT AND MEDWAY CCG,ALL SUSPECTED CANCER,3948,3749,199,0.94959473150962503,ALL CANCERS TWO WEEK WAIT,2020-05-01
11N,NHS KERNOW CCG,ALL SUSPECTED CANCER,1439,1410,29,0.97984711605281405,ALL CANCERS TWO WEEK WAIT,2020-05-01
01J,NHS KNOWSLEY CCG,ALL SUSPECTED CANCER,338,313,25,0.92603550295857995,ALL CANCERS TWO WEEK WAIT,2020-05-01
15F,NHS LEEDS CCG,ALL SUSPECTED CANCER,1560,1360,200,0.87179487179487203,ALL CANCERS TWO WEEK WAIT,2020-05-01
04C,NHS LEICESTER CITY CCG,ALL SUSPECTED CANCER,494,421,73,0.85222672064777305,ALL CANCERS TWO WEEK WAIT,2020-05-01
71E,NHS LINCOLNSHIRE CCG,ALL SUSPECTED CANCER,1738,1619,119,0.93153049482163397,ALL CANCERS TWO WEEK WAIT,2020-05-01
99A,NHS LIVERPOOL CCG,ALL SUSPECTED CANCER,853,839,14,0.98358733880422,ALL CANCERS TWO WEEK WAIT,2020-05-01
06P,NHS LUTON CCG,ALL SUSPECTED CANCER,226,210,16,0.92920353982300896,ALL CANCERS TWO WEEK WAIT,2020-05-01
14L,NHS MANCHESTER CCG,ALL SUSPECTED CANCER,1133,1055,78,0.93115622241835805,ALL CANCERS TWO WEEK WAIT,2020-05-01
06Q,NHS MID ESSEX CCG,ALL SUSPECTED CANCER,771,652,119,,ALL CANCERS TWO WEEK WAIT,2020-05-01
04F,NHS MILTON KEYNES CCG,ALL SUSPECTED CANCER,435,406,29,0.93333333333333302,ALL CANCERS TWO WEEK WAIT,2020-05-01
01K,NHS MORECAMBE BAY CCG,ALL SUSPECTED CANCER,663,615,48,0.92760180995475106,ALL CANCERS TWO WEEK WAIT,2020-05-01
13T,NHS NEWCASTLE GATESHEAD CCG,ALL SUSPECTED CANCER,833,679,154,0.81512605042016795,ALL CANCERS TWO WEEK WAIT,2020-05-01
08M,NHS NEWHAM CCG,ALL SUSPECTED CANCER,350,347,3,0.99142857142857099,ALL CANCERS TWO WEEK WAIT,2020-05-01
26A,NHS NORFOLK AND WAVENEY CCG,ALL SUSPECTED CANCER,1929,1824,105,0.94556765163296996,ALL CANCERS TWO WEEK WAIT,2020-05-01
93C,NHS NORTH CENTRAL LONDON CCG,ALL SUSPECTED CANCER,2546,2346,200,0.92144540455616697,ALL CANCERS TWO WEEK WAIT,2020-05-01
01H,NHS NORTH CUMBRIA CCG,ALL SUSPECTED CANCER,645,603,42,0.93488372093023298,ALL CANCERS TWO WEEK WAIT,2020-05-01
06T,NHS NORTH EAST ESSEX CCG,ALL SUSPECTED CANCER,754,731,23,0.96949602122015899,ALL CANCERS TWO WEEK WAIT,2020-05-01
99M,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,ALL SUSPECTED CANCER,294,289,5,0.98299319727891199,ALL CANCERS TWO WEEK WAIT,2020-05-01
03H,NHS NORTH EAST LINCOLNSHIRE CCG,ALL SUSPECTED CANCER,252,246,6,0.97619047619047605,ALL CANCERS TWO WEEK WAIT,2020-05-01
10J,NHS NORTH HAMPSHIRE CCG,ALL SUSPECTED CANCER,391,347,44,,ALL CANCERS TWO WEEK WAIT,2020-05-01
03J,NHS NORTH KIRKLEES CCG,ALL SUSPECTED CANCER,306,287,19,0.93790849673202603,ALL CANCERS TWO WEEK WAIT,2020-05-01
03K,NHS NORTH LINCOLNSHIRE CCG,ALL SUSPECTED CANCER,308,305,3,0.99025974025973995,ALL CANCERS TWO WEEK WAIT,2020-05-01
05G,NHS NORTH STAFFORDSHIRE CCG,ALL SUSPECTED CANCER,462,439,23,0.95021645021644996,ALL CANCERS TWO WEEK WAIT,2020-05-01
99C,NHS NORTH TYNESIDE CCG,ALL SUSPECTED CANCER,432,400,32,0.92592592592592604,ALL CANCERS TWO WEEK WAIT,2020-05-01
42D,NHS NORTH YORKSHIRE CCG,ALL SUSPECTED CANCER,790,764,26,0.96708860759493698,ALL CANCERS TWO WEEK WAIT,2020-05-01
78H,NHS NORTHAMPTONSHIRE CCG,ALL SUSPECTED CANCER,1081,998,83,,ALL CANCERS TWO WEEK WAIT,2020-05-01
00L,NHS NORTHUMBERLAND CCG,ALL SUSPECTED CANCER,732,707,25,0.96584699453551903,ALL CANCERS TWO WEEK WAIT,2020-05-01
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,ALL SUSPECTED CANCER,2165,1983,182,0.91593533487297896,ALL CANCERS TWO WEEK WAIT,2020-05-01
00Y,NHS OLDHAM CCG,ALL SUSPECTED CANCER,595,577,18,0.96974789915966397,ALL CANCERS TWO WEEK WAIT,2020-05-01
10Q,NHS OXFORDSHIRE CCG,ALL SUSPECTED CANCER,1160,1083,77,0.93362068965517198,ALL CANCERS TWO WEEK WAIT,2020-05-01
10R,NHS PORTSMOUTH CCG,ALL SUSPECTED CANCER,316,314,2,0.993670886075949,ALL CANCERS TWO WEEK WAIT,2020-05-01
08N,NHS REDBRIDGE CCG,ALL SUSPECTED CANCER,456,360,96,0.78947368421052599,ALL CANCERS TWO WEEK WAIT,2020-05-01
03L,NHS ROTHERHAM CCG,ALL SUSPECTED CANCER,432,408,24,0.94444444444444398,ALL CANCERS TWO WEEK WAIT,2020-05-01
01G,NHS SALFORD CCG,ALL SUSPECTED CANCER,471,454,17,0.96390658174097699,ALL CANCERS TWO WEEK WAIT,2020-05-01
